iso,year,log_gdppc,bottom40_share
LTU,2012,9.43481251284963,18.8
LTU,2013,9.483858122194823,18.7
LTU,2014,9.529026046974057,17.6
LTU,2015,9.565900974414994,17.7
LTU,2016,9.603942536356517,17.4
LTU,2017,9.66116113904556,17.9
LTU,2018,9.717453240633645,18.6
LTU,2019,9.766047038279611,19.0
LTU,2020,9.766731266286294,19.1
LTU,2021,9.829425937275333,18.7
LTU,2022,9.845532261123843,18.6
LTU,2023,9.838891977222683,18.4
LUX,1985,10.777881617201334,23.7
LUX,1986,10.868559063728112,22.7
LUX,1987,10.90082746244883,22.0
LUX,1988,10.97481283557337,22.4
LUX,1989,11.058559247052292,22.0
LUX,1990,11.097874274297443,23.0
LUX,1991,11.167385497067487,23.1
LUX,1992,11.172134993588744,23.200000000000003
LUX,1993,11.199859263441622,23.299999999999997
LUX,1994,11.223738181740028,22.6
LUX,1995,11.223911168497406,22.5
LUX,1996,11.22418366269885,22.1
LUX,1997,11.26442822854804,21.9
LUX,1998,11.31659861764709,21.200000000000003
LUX,1999,11.381683022732027,21.5
LUX,2000,11.435322122859983,21.5
LUX,2001,11.453697220234687,21.3
LUX,2002,11.474964292429998,21.3
LUX,2003,11.488667636688167,21.5
LUX,2004,11.51589063447312,21.4
LUX,2005,11.525112002873286,21.2
LUX,2006,11.567587241751982,21.1
LUX,2007,11.630016229895714,21.200000000000003
LUX,2008,11.609113956065205,20.4
LUX,2009,11.557670527263427,20.7
LUX,2010,11.576330734059738,21.1
LUX,2011,11.564492839082202,20.2
LUX,2012,11.556839934456814,19.1
LUX,2013,11.564952432522976,20.1
LUX,2014,11.567275399860009,20.8
LUX,2015,11.566106096767557,19.8
LUX,2016,11.593135409684555,20.299999999999997
LUX,2017,11.581910853760451,18.7
LUX,2018,11.578607031358436,18.5
LUX,2019,11.586100640467407,19.1
LUX,2020,11.564323485350888,19.4
LUX,2021,11.61614172076635,19.5
LUX,2022,11.584940256197747,18.9
LUX,2023,11.565733875261605,19.1
LVA,1993,8.403962089410827,23.2
LVA,1995,8.44712868899316,21.2
LVA,1996,8.481131546060839,21.0
LVA,1997,8.578848806479929,19.2
LVA,1998,8.651722193255763,20.0
LVA,2002,8.915060099049965,19.1
LVA,2003,9.005650724624015,18.5
LVA,2004,9.100216745757315,18.8
LVA,2005,9.22091057163862,17.200000000000003
LVA,2006,9.350751219120642,18.5
LVA,2007,9.457984591626825,17.4
LVA,2008,9.43401934025724,17.4
LVA,2009,9.275699666271167,18.200000000000003
LVA,2010,9.259213068197027,18.5
LVA,2011,9.30733234061311,18.5
LVA,2012,9.390243234974816,18.7
LVA,2013,9.421697828426328,18.7
LVA,2014,9.451848434321084,18.9
LVA,2015,9.49717022995096,19.4
LVA,2016,9.531505822621467,19.1
LVA,2017,9.573792587331301,18.4
LVA,2018,9.62377826726125,18.9
LVA,2019,9.637461682130624,19.299999999999997
LVA,2020,9.609165455290974,18.6
LVA,2021,9.684719913140645,19.2
LVA,2022,9.706339110292909,19.5
LVA,2023,9.694578733235156,19.6
MAR,1984,7.240007109229694,18.5
MAR,1990,7.435813450576074,17.0
MAR,1998,7.566176677859204,17.1
MAR,2000,7.579240196479818,16.8
MAR,2006,7.820035146049843,17.0
MAR,2013,8.009092367633745,17.4
MDA,1997,7.282629635255891,18.0
MDA,1998,7.215373507281999,16.8
MDA,1999,7.182680742652346,16.1
MDA,2000,7.205572569970748,18.4
MDA,2001,7.267020689738975,17.8
MDA,2002,7.344443959671323,18.4
MDA,2003,7.411173309972095,19.4
MDA,2004,7.485037775118744,19.200000000000003
MDA,2005,7.559791625206144,18.5
MDA,2006,7.609454437228825,18.799999999999997
MDA,2007,7.641330424911858,19.3
MDA,2008,7.718341390309488,19.3
MDA,2009,7.6577286177050174,19.799999999999997
MDA,2010,7.727319739910406,20.6
MDA,2011,7.784450123967318,21.4
MDA,2012,7.778666421877294,22.2
MDA,2013,7.865514311622449,22.6
MDA,2014,7.914910633093125,23.4
MDA,2015,7.9191930393679435,23.4
MDA,2016,7.976236439923537,24.1
MDA,2017,8.03441489110945,24.1
MDA,2018,8.091932263900603,24.4
MDA,2019,8.14284217837886,24.1
MDA,2020,8.06743661337088,24.6
MDA,2021,8.212884945475608,24.299999999999997
MDA,2022,8.191502705235212,24.299999999999997
MDA,2023,8.231740317629335,23.8
MDG,1980,6.529565819812493,13.8
MDG,1993,6.1657533721540725,15.3
MDG,1997,6.112139396040779,16.7
MDG,1999,6.131301247550797,16.9
MDG,2001,6.1704589395028915,13.4
MDG,2005,6.111368068303234,17.5
MDG,2010,6.103491365332874,16.299999999999997
MDG,2012,6.092760187621575,15.7
MDG,2021,6.067497155248701,18.7
MEX,1984,9.01285523199945,12.799999999999999
MEX,1989,8.959800676235025,12.7
MEX,1992,9.027650459502315,11.7
MEX,1994,9.062244044349661,11.0
MEX,1996,9.026496011129996,11.5
MEX,1998,9.12280834431784,10.7
MEX,2000,9.167638455470653,10.8
MEX,2002,9.131543764230113,12.0
MEX,2004,9.150727275536402,12.3
MEX,2005,9.15815376319475,11.899999999999999
MEX,2006,9.191547694779059,12.5
MEX,2008,9.192822036515162,11.8
MEX,2010,9.147301229756302,13.4
MEX,2012,9.188352169827196,12.8
MEX,2014,9.196493064363933,13.3
MEX,2016,9.2203404164037,14.0
MEX,2018,9.239595156557186,14.5
MEX,2020,9.130717301987913,14.8
MEX,2022,9.21166428748381,15.4
MEX,2024,9.23834784459323,15.6
MKD,1998,8.019000710347171,22.3
MKD,2000,8.096628457873,18.799999999999997
MKD,2002,8.083362757975165,16.9
MKD,2003,8.104074995499568,16.9
MKD,2004,8.15299442814708,16.9
MKD,2005,8.204552378676441,16.3
MKD,2006,8.260168736376048,15.2
MKD,2008,8.387665366133492,13.9
MKD,2009,8.390541044147287,14.299999999999999
MKD,2010,8.429970557594938,14.7
MKD,2011,8.457683132467706,15.3
MKD,2012,8.457029446518554,16.0
MKD,2013,8.48955081431236,17.2
MKD,2014,8.527885823401416,17.7
MKD,2015,8.568396958460816,17.299999999999997
MKD,2016,8.599684612434945,17.799999999999997
MKD,2017,8.614468462655624,18.0
MKD,2018,8.647939544764558,18.5
MKD,2019,8.693091623035492,18.1
MLI,1994,6.4615947447833255,12.8
MLI,2001,6.6424350963160546,16.6
MLI,2006,6.680980809962873,17.3
MLI,2009,6.688960680909535,20.1
MLI,2018,6.794562305987584,18.7
MLI,2021,6.771170669370656,19.1
MLT,2006,9.824401291158187,22.4
MLT,2007,9.870050528040338,21.700000000000003
MLT,2008,9.906704960601118,21.9
MLT,2009,9.885115144640713,21.4
MLT,2010,9.940332284113836,21.8
MLT,2011,9.945968392916484,22.0
MLT,2012,9.977174176781398,21.9
MLT,2013,10.026876520412557,22.2
MLT,2014,10.080212459903496,22.1
MLT,2015,10.147596557588672,21.9
